"","workerid","pref1","order0","simPreference0","simulatedAnswer","numFeatures","normResponse0","simRank1","targetFeature","Answer.time_in_minutes","simPreference2","obj1","obj2","pref0","guessRank0","certainty","order2","evalNum","simRank0","targetFeatureNum","normResponse2","sex","order1","guessRank2","normResponse1","blockNr","obj3","simRank2","simPreference1","utterance","uttCode","response1","pref2","featuresPresent","response0","targetUttCode","guessRank1","response2","item","trialNum","education","enjoyment","language","gender","comments","age","assess","uttFeat","targetOC27","obj1OC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post3_1","Post3_2","Post3_3","Post3_4","Post3_5","Post3_6","Post3_7","Post3_8","Post3_9","CCode","logLik"
"1",0,"circle",232,0,333,5,0.214285714285714,"square","shape",17.3378666666667,0.5,221,232,"cloud","square",0.8,221,2,"circle",1,0.5,"female",333,"cloud",0.285714285714286,0,333,"cloud",1,"green","22b1",0.4,"square","['striped', 'polka-dotted', 'blue', 'red', 'green']",0.3,"22b1-2","circle",0.7,27240,0,3,2,"English","Female","None",48,"Yes",3,27,5,17,27,0.21429,0.28571,0.5,NA,NA,NA,NA,NA,NA,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.33333,0.13333,0.53333,0,0,0,0,0,0,112112,0
"2",0,"circle",231,0,231,4,0.25,"square","shape",17.3378666666667,0.5,231,212,"cloud","square",0.8,132,2,"circle",1,0.25,"female",212,"cloud",0.5,0,132,"cloud",1,"blue","22b2b",0.7,"square","['solid', 'polka-dotted', 'blue', 'red']",0.35,"22b2b-2","circle",0.35,5070,1,3,2,"English","Female","None",48,"Yes",3,8,8,11,16,0.25,0.5,0.25,NA,NA,NA,NA,NA,NA,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.19048,0.47619,0.33333,0,0,0,0,0,0,122122,0
"3",0,"circle",311,0,311,4,0.173913043478261,"square","shape",17.3378666666667,0.5,311,221,"cloud","square",0.8,231,2,"circle",1,0.478260869565217,"female",221,"cloud",0.347826086956522,0,231,"cloud",1,"solid","321",0.4,"square","['solid', 'striped', 'polka-dotted', 'blue']",0.2,"321-2","circle",0.55,430,2,3,2,"English","Female","None",48,"Yes",2,3,3,5,8,0.17391,0.34783,0.47826,NA,NA,NA,NA,NA,NA,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.33333,0.13333,0.53333,0,0,0,0,0,0,113212,0
"4",0,"circle",133,0,321,4,0.192307692307692,"square","shape",17.3378666666667,0.5,321,133,"cloud","square",0.8,333,2,"circle",1,0.538461538461539,"female",321,"cloud",0.269230769230769,0,333,"cloud",1,"blue","22a2b",0.35,"square","['striped', 'polka-dotted', 'blue', 'green']",0.25,"22a2b-2b","circle",0.7,28810,3,3,2,"English","Female","None",48,"Yes",3,6,6,25,27,0.19231,0.26923,0.53846,NA,NA,NA,NA,NA,NA,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.19048,0.33333,0.47619,0,0,0,0,0,0,122112,0
"5",0,"circle",132,1,132,5,0.478260869565217,"square","shape",17.3378666666667,0.5,311,322,"cloud","cloud",0.85,322,2,"cloud",1,0.260869565217391,"female",311,"square",0.260869565217391,1,132,"circle",0,"red","22b1",0.3,"square","['solid', 'striped', 'polka-dotted', 'blue', 'red']",0.55,"22b1-2","circle",0.3,5480,0,3,2,"English","Female","None",48,"Yes",3,16,3,15,16,0.47826,0.26087,0.26087,NA,NA,NA,NA,NA,NA,0.53333,0.33333,0.13333,0,0,0,0,0,0,0.53333,0.33333,0.13333,0,0,0,0,0,0,211211,0
"6",0,"circle",221,1,221,4,0.173913043478261,"square","shape",17.3378666666667,0.5,221,122,"cloud","cloud",0.85,323,2,"cloud",1,0.260869565217391,"female",122,"square",0.565217391304348,1,323,"circle",0,"blue","311",0.65,"square","['striped', 'blue', 'red', 'green']",0.2,"311-3","circle",0.3,18410,1,3,2,"English","Female","None",48,"Yes",3,5,5,13,24,0.17391,0.56522,0.26087,NA,NA,NA,NA,NA,NA,0.38333,0.33333,0.28333,0,0,0,0,0,0,0.24277,0.66667,0.09056,0,0,0,0,0,0,113211,0
"7",0,"circle",311,1,133,5,0.545454545454545,"square","shape",17.3378666666667,0.5,311,223,"cloud","cloud",0.85,133,2,"cloud",1,0.272727272727273,"female",223,"square",0.181818181818182,1,133,"circle",0,"green","211",0.2,"square","['solid', 'striped', 'polka-dotted', 'blue', 'green']",0.6,"211-3","circle",0.3,22570,2,3,2,"English","Female","None",48,"Yes",3,25,3,23,25,0.54545,0.18182,0.27273,NA,NA,NA,NA,NA,NA,0.55333,0.13333,0.31333,0,0,0,0,0,0,0.68569,0.16667,0.14764,0,0,0,0,0,0,211111,0
"8",0,"circle",321,1,123,3,0.6,"square","shape",17.3378666666667,0.5,321,123,"cloud","cloud",0.85,223,2,"cloud",1,0.16,"female",123,"square",0.24,1,223,"circle",0,"green","321",0.3,"square","['striped', 'blue', 'green']",0.75,"321-3","circle",0.2,17550,3,3,2,"English","Female","None",48,"Yes",3,22,6,22,23,0.6,0.24,0.16,NA,NA,NA,NA,NA,NA,0.62133,0.05333,0.32533,0,0,0,0,0,0,0.75868,0.08227,0.15906,0,0,0,0,0,0,213211,0
"9",0,"red",132,0,112,4,0.2,"green","color",17.3378666666667,0.5,112,132,"blue","red",0.9,123,2,"red",3,0.2,"female",112,"green",0.6,2,123,"blue",1,"solid","321",0.75,"green","['cloud', 'solid', 'striped', 'polka-dotted']",0.25,"321-2","blue",0.25,14441,0,3,2,"English","Female","None",48,"Yes",2,10,10,16,22,NA,NA,NA,NA,NA,NA,0.2,0.6,0.2,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0.33333,0.47619,0.19048,113221,0
"10",0,"red",231,0,233,4,0.190476190476191,"green","color",17.3378666666667,0.5,121,231,"blue","red",0.9,121,2,"red",3,0.666666666666667,"female",233,"green",0.142857142857143,2,233,"blue",1,"circle","22a2b",0.15,"green","['cloud', 'circle', 'striped', 'polka-dotted']",0.2,"22a2b-2b","blue",0.7,23242,1,3,2,"English","Female","None",48,"Yes",1,26,4,8,26,NA,NA,NA,NA,NA,NA,0.19048,0.14286,0.66667,0,0,0,0,0,0,0.13333,0.33333,0.53333,0,0,0,0,0,0,0.13333,0.33333,0.53333,212112,0
